"row","pop_group","age_group","indicator_category","indicator","value","n","sum","Year","row_index"
1063,"Rest of pop","03-18","Socio-economic background","Receiving main benefit","0",973974,"NULL",2021,NA
1064,"DSS in Given Year","45-64","Socio-economic background","NZDep","NULL",582,"NULL",2021,NA
1065,"DSS in Given Year","45-64","Socio-economic background","NZDep","2",456,"NULL",2021,NA
1066,"DSS in Given Year","45-64","Socio-economic background","NZDep","5",792,"NULL",2021,NA
1067,"DSS in Given Year","45-64","Socio-economic background","NZDep","8",1182,"NULL",2021,NA
1068,"DSS in past","03-18","Socio-economic background","NZDep","3",531,"NULL",2021,NA
1069,"DSS in past","65+","Socio-economic background","NZDep","NULL",351,"NULL",2021,NA
1070,"DSS in past","65+","Socio-economic background","NZDep","2",195,"NULL",2021,NA
1071,"Non-DSS disabled","03-18","Socio-economic background","NZDep","3",717,"NULL",2021,NA
1072,"Non-DSS disabled","03-18","Socio-economic background","NZDep","6",981,"NULL",2021,NA
1073,"Non-DSS disabled","03-18","Socio-economic background","NZDep","9",1545,"NULL",2021,NA
1074,"Non-DSS disabled","45-64","Socio-economic background","NZDep","NULL",21,"NULL",2021,NA
1075,"Non-DSS disabled","45-64","Socio-economic background","NZDep","2",3018,"NULL",2021,NA
1076,"Non-DSS disabled","45-64","Socio-economic background","NZDep","5",3816,"NULL",2021,NA
1077,"Non-DSS disabled","65+","Socio-economic background","NZDep","NULL",15,"NULL",2021,NA
1078,"Non-DSS disabled","65+","Socio-economic background","NZDep","2",5868,"NULL",2021,NA
1079,"Non-DSS disabled","65+","Socio-economic background","NZDep","5",8064,"NULL",2021,NA
1080,"Rest of pop","03-18","Socio-economic background","NZDep","3",81318,"NULL",2021,NA
1081,"Rest of pop","03-18","Socio-economic background","NZDep","6",82350,"NULL",2021,NA
1082,"Rest of pop","65+","Socio-economic background","NZDep","NULL",50871,"NULL",2021,NA
1083,"Rest of pop","65+","Socio-economic background","NZDep","2",72672,"NULL",2021,NA
1084,"DSS in Given Year","45-64","Socio-economic background","Highest qualification (NQF)","NULL",273,"NULL",2021,NA
1085,"DSS in Given Year","45-64","Socio-economic background","Highest qualification (NQF)","2",753,"NULL",2021,NA
1086,"DSS in Given Year","45-64","Socio-economic background","Highest qualification (NQF)","5",261,"NULL",2021,NA
1087,"DSS in Given Year","45-64","Socio-economic background","Highest qualification (NQF)","8",132,"NULL",2021,NA
1088,"DSS in past","03-18","Socio-economic background","Highest qualification (NQF)","0",456,"NULL",2021,NA
1089,"DSS in past","03-18","Socio-economic background","Highest qualification (NQF)","3",228,"NULL",2021,NA
1090,"DSS in past","65+","Socio-economic background","Highest qualification (NQF)","NULL",264,"NULL",2021,NA
1091,"DSS in past","65+","Socio-economic background","Highest qualification (NQF)","2",438,"NULL",2021,NA
1092,"Non-DSS disabled","03-18","Socio-economic background","Highest qualification (NQF)","0",483,"NULL",2021,NA
1093,"Non-DSS disabled","03-18","Socio-economic background","Highest qualification (NQF)","3",570,"NULL",2021,NA
1094,"Non-DSS disabled","03-18","Socio-economic background","Highest qualification (NQF)","9",0,"NULL",2021,NA
1095,"Non-DSS disabled","45-64","Socio-economic background","Highest qualification (NQF)","NULL",198,"NULL",2021,NA
1096,"Non-DSS disabled","45-64","Socio-economic background","Highest qualification (NQF)","2",4734,"NULL",2021,NA
1097,"Non-DSS disabled","45-64","Socio-economic background","Highest qualification (NQF)","5",4008,"NULL",2021,NA
1098,"Non-DSS disabled","65+","Socio-economic background","Highest qualification (NQF)","NULL",2010,"NULL",2021,NA
1099,"Non-DSS disabled","65+","Socio-economic background","Highest qualification (NQF)","2",6129,"NULL",2021,NA
1100,"Non-DSS disabled","65+","Socio-economic background","Highest qualification (NQF)","5",3285,"NULL",2021,NA
1101,"Rest of pop","03-18","Socio-economic background","Highest qualification (NQF)","0",15174,"NULL",2021,NA
1102,"Rest of pop","03-18","Socio-economic background","Highest qualification (NQF)","3",35709,"NULL",2021,NA
1103,"Rest of pop","03-18","Socio-economic background","Highest qualification (NQF)","6",33,"NULL",2021,NA
1104,"Rest of pop","65+","Socio-economic background","Highest qualification (NQF)","NULL",35598,"NULL",2021,NA
1105,"Rest of pop","65+","Socio-economic background","Highest qualification (NQF)","2",56070,"NULL",2021,NA
1106,"Non-DSS disabled","45-64","Socio-economic background","Total income","NULL",44784,"2166656687.8000002",2021,NA
1107,"DSS in past","03-18","Socio-economic background","Receipt of wages/salary","0",7062,"NULL",2021,NA
1108,"Non-DSS disabled","03-18","Socio-economic background","Receipt of wages/salary","0",8751,"NULL",2021,NA
1109,"Rest of pop","03-18","Socio-economic background","Receipt of wages/salary","0",873525,"NULL",2021,NA
1110,"DSS in Given Year","03-18","Socio-economic background","Income bands","L:$40,001-$50,000",15,"NULL",2021,NA
1111,"DSS in Given Year","03-18","Socio-economic background","Income bands","N:$60,001-$70,000",0,"NULL",2021,NA
1112,"DSS in Given Year","03-18","Socio-economic background","Income bands","Z:Not Stated",0,"NULL",2021,NA
1113,"DSS in Given Year","19-44","Socio-economic background","Income bands","C:Zero Income",120,"NULL",2021,NA
1114,"DSS in Given Year","19-44","Socio-economic background","Income bands","D:$1-$5,000",216,"NULL",2021,NA
1115,"DSS in Given Year","19-44","Socio-economic background","Income bands","K:$35,001-$40,000",279,"NULL",2021,NA
1116,"DSS in Given Year","45-64","Socio-economic background","Income bands","D:$1-$5,000",294,"NULL",2021,NA
1117,"DSS in Given Year","45-64","Socio-economic background","Income bands","F:$10,001-$15,000",222,"NULL",2021,NA
1118,"DSS in Given Year","45-64","Socio-economic background","Income bands","J:$30,001-$35,000",486,"NULL",2021,NA
1119,"DSS in Given Year","65+","Socio-economic background","Income bands","B:Loss",0,"NULL",2021,NA
1120,"DSS in Given Year","65+","Socio-economic background","Income bands","H:$20,001-$25,000",1287,"NULL",2021,NA
1121,"DSS in Given Year","65+","Socio-economic background","Income bands","M:$50,001-$60,000",27,"NULL",2021,NA
1122,"DSS in Given Year","65+","Socio-economic background","Income bands","O:$70,001-$100,000",24,"NULL",2021,NA
1123,"DSS in past","03-18","Socio-economic background","Income bands","A:NULL",4842,"NULL",2021,NA
1124,"DSS in past","03-18","Socio-economic background","Income bands","G:$15,001-$20,000",156,"NULL",2021,NA
1125,"DSS in past","03-18","Socio-economic background","Income bands","L:$40,001-$50,000",33,"NULL",2021,NA
1126,"DSS in past","03-18","Socio-economic background","Income bands","P:$100,001-$150,000",0,"NULL",2021,NA
1127,"DSS in past","19-44","Socio-economic background","Income bands","N:$60,001-$70,000",327,"NULL",2021,NA
1128,"DSS in past","19-44","Socio-economic background","Income bands","Q:$150,001 or More",24,"NULL",2021,NA
1129,"DSS in past","45-64","Socio-economic background","Income bands","B:Loss",12,"NULL",2021,NA
1130,"DSS in past","45-64","Socio-economic background","Income bands","H:$20,001-$25,000",1854,"NULL",2021,NA
1131,"DSS in past","45-64","Socio-economic background","Income bands","O:$70,001-$100,000",270,"NULL",2021,NA
1132,"DSS in past","65+","Socio-economic background","Income bands","M:$50,001-$60,000",81,"NULL",2021,NA
1133,"Non-DSS disabled","03-18","Socio-economic background","Income bands","A:NULL",6351,"NULL",2021,NA
1134,"Non-DSS disabled","03-18","Socio-economic background","Income bands","I:$25,001-$30,000",81,"NULL",2021,NA
1135,"Non-DSS disabled","19-44","Socio-economic background","Income bands","M:$50,001-$60,000",3342,"NULL",2021,NA
1136,"Non-DSS disabled","19-44","Socio-economic background","Income bands","Q:$150,001 or More",411,"NULL",2021,NA
1137,"Non-DSS disabled","45-64","Socio-economic background","Income bands","H:$20,001-$25,000",5118,"NULL",2021,NA
1138,"Non-DSS disabled","45-64","Socio-economic background","Income bands","N:$60,001-$70,000",3078,"NULL",2021,NA
1139,"Non-DSS disabled","45-64","Socio-economic background","Income bands","O:$70,001-$100,000",5331,"NULL",2021,NA
1140,"Non-DSS disabled","65+","Socio-economic background","Income bands","B:Loss",81,"NULL",2021,NA
1141,"Non-DSS disabled","65+","Socio-economic background","Income bands","J:$30,001-$35,000",7602,"NULL",2021,NA
1142,"Non-DSS disabled","65+","Socio-economic background","Income bands","O:$70,001-$100,000",2385,"NULL",2021,NA
1143,"Rest of pop","03-18","Socio-economic background","Income bands","A:NULL",730584,"NULL",2021,NA
1144,"Rest of pop","03-18","Socio-economic background","Income bands","B:Loss",102,"NULL",2021,NA
1145,"Rest of pop","03-18","Socio-economic background","Income bands","G:$15,001-$20,000",10002,"NULL",2021,NA
1146,"Rest of pop","03-18","Socio-economic background","Income bands","I:$25,001-$30,000",3237,"NULL",2021,NA
1147,"Rest of pop","03-18","Socio-economic background","Income bands","L:$40,001-$50,000",3495,"NULL",2021,NA
1148,"Rest of pop","03-18","Socio-economic background","Income bands","P:$100,001-$150,000",75,"NULL",2021,NA
1149,"Rest of pop","19-44","Socio-economic background","Income bands","M:$50,001-$60,000",199329,"NULL",2021,NA
1150,"Rest of pop","19-44","Socio-economic background","Income bands","Q:$150,001 or More",47616,"NULL",2021,NA
1151,"Rest of pop","45-64","Socio-economic background","Income bands","H:$20,001-$25,000",58203,"NULL",2021,NA
1152,"Rest of pop","45-64","Socio-economic background","Income bands","M:$50,001-$60,000",114981,"NULL",2021,NA
1153,"Rest of pop","45-64","Socio-economic background","Income bands","O:$70,001-$100,000",209211,"NULL",2021,NA
1154,"DSS in past","03-18","Parent SES","Parent 1 main benefit","0",3357,"NULL",2021,NA
1155,"Non-DSS disabled","03-18","Parent SES","Parent 1 main benefit","0",4899,"NULL",2021,NA
1156,"Rest of pop","03-18","Parent SES","Parent 1 main benefit","0",559518,"NULL",2021,NA
1157,"DSS in past","03-18","Parent SES","Parent 2 main benefit","0",5463,"NULL",2021,NA
1158,"Non-DSS disabled","03-18","Parent SES","Parent 2 main benefit","0",7791,"NULL",2021,NA
1159,"Rest of pop","03-18","Parent SES","Parent 2 main benefit","0",790524,"NULL",2021,NA
1160,"DSS in Given Year","45-64","Parent SES","Parent 1 highest qual (NQF)","NULL",8784,"NULL",2021,NA
1161,"DSS in Given Year","45-64","Parent SES","Parent 1 highest qual (NQF)","2",21,"NULL",2021,NA
1162,"DSS in Given Year","45-64","Parent SES","Parent 1 highest qual (NQF)","5",18,"NULL",2021,NA
1163,"DSS in Given Year","45-64","Parent SES","Parent 1 highest qual (NQF)","8",6,"NULL",2021,NA
1164,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","0",630,"NULL",2021,NA
1165,"DSS in past","03-18","Parent SES","Parent 1 highest qual (NQF)","3",1290,"NULL",2021,NA
1166,"DSS in past","65+","Parent SES","Parent 1 highest qual (NQF)","NULL",5403,"NULL",2021,NA
1167,"Non-DSS disabled","03-18","Parent SES","Parent 1 highest qual (NQF)","0",711,"NULL",2021,NA
1168,"Non-DSS disabled","03-18","Parent SES","Parent 1 highest qual (NQF)","3",1632,"NULL",2021,NA
1169,"Non-DSS disabled","03-18","Parent SES","Parent 1 highest qual (NQF)","6",351,"NULL",2021,NA
1170,"Non-DSS disabled","03-18","Parent SES","Parent 1 highest qual (NQF)","9",180,"NULL",2021,NA
1171,"Non-DSS disabled","45-64","Parent SES","Parent 1 highest qual (NQF)","NULL",43449,"NULL",2021,NA
1172,"Non-DSS disabled","45-64","Parent SES","Parent 1 highest qual (NQF)","2",132,"NULL",2021,NA
1173,"Non-DSS disabled","45-64","Parent SES","Parent 1 highest qual (NQF)","5",69,"NULL",2021,NA
1174,"Non-DSS disabled","65+","Parent SES","Parent 1 highest qual (NQF)","NULL",81246,"NULL",2021,NA
1175,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","0",43893,"NULL",2021,NA
1176,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","3",122742,"NULL",2021,NA
1177,"Rest of pop","03-18","Parent SES","Parent 1 highest qual (NQF)","6",36156,"NULL",2021,NA
1178,"Rest of pop","65+","Parent SES","Parent 1 highest qual (NQF)","NULL",703392,"NULL",2021,NA
1179,"DSS in Given Year","45-64","Parent SES","Parent 2 highest qual (NQF)","NULL",8814,"NULL",2021,NA
1180,"DSS in Given Year","45-64","Parent SES","Parent 2 highest qual (NQF)","2",21,"NULL",2021,NA
1181,"DSS in Given Year","45-64","Parent SES","Parent 2 highest qual (NQF)","5",15,"NULL",2021,NA
1182,"DSS in Given Year","45-64","Parent SES","Parent 2 highest qual (NQF)","8",6,"NULL",2021,NA
1183,"DSS in past","03-18","Parent SES","Parent 2 highest qual (NQF)","0",672,"NULL",2021,NA
1184,"DSS in past","03-18","Parent SES","Parent 2 highest qual (NQF)","3",1182,"NULL",2021,NA
1185,"DSS in past","65+","Parent SES","Parent 2 highest qual (NQF)","NULL",5403,"NULL",2021,NA
1186,"Non-DSS disabled","03-18","Parent SES","Parent 2 highest qual (NQF)","0",834,"NULL",2021,NA
1187,"Non-DSS disabled","03-18","Parent SES","Parent 2 highest qual (NQF)","3",1515,"NULL",2021,NA
1188,"Non-DSS disabled","03-18","Parent SES","Parent 2 highest qual (NQF)","6",261,"NULL",2021,NA
1189,"Non-DSS disabled","03-18","Parent SES","Parent 2 highest qual (NQF)","9",162,"NULL",2021,NA
1190,"Non-DSS disabled","45-64","Parent SES","Parent 2 highest qual (NQF)","NULL",43608,"NULL",2021,NA
1191,"Non-DSS disabled","45-64","Parent SES","Parent 2 highest qual (NQF)","2",78,"NULL",2021,NA
1192,"Non-DSS disabled","45-64","Parent SES","Parent 2 highest qual (NQF)","5",75,"NULL",2021,NA
1193,"Non-DSS disabled","65+","Parent SES","Parent 2 highest qual (NQF)","NULL",81246,"NULL",2021,NA
1194,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","0",53973,"NULL",2021,NA
1195,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","3",116889,"NULL",2021,NA
1196,"Rest of pop","03-18","Parent SES","Parent 2 highest qual (NQF)","6",35034,"NULL",2021,NA
1197,"Rest of pop","65+","Parent SES","Parent 2 highest qual (NQF)","NULL",703404,"NULL",2021,NA
1198,"DSS in Given Year","03-18","Parent SES","Parent 1 income bands","L:$40,001-$50,000",2268,"NULL",2021,NA
1199,"DSS in Given Year","03-18","Parent SES","Parent 1 income bands","N:$60,001-$70,000",891,"NULL",2021,NA
1200,"DSS in Given Year","19-44","Parent SES","Parent 1 income bands","C:Zero Income",201,"NULL",2021,NA
1201,"DSS in Given Year","19-44","Parent SES","Parent 1 income bands","D:$1-$5,000",351,"NULL",2021,NA
1202,"DSS in Given Year","19-44","Parent SES","Parent 1 income bands","K:$35,001-$40,000",498,"NULL",2021,NA
1203,"DSS in Given Year","45-64","Parent SES","Parent 1 income bands","F:$10,001-$15,000",0,"NULL",2021,NA
1204,"DSS in Given Year","45-64","Parent SES","Parent 1 income bands","J:$30,001-$35,000",42,"NULL",2021,NA
1205,"DSS in past","03-18","Parent SES","Parent 1 income bands","A:NULL",12,"NULL",2021,NA
1206,"DSS in past","03-18","Parent SES","Parent 1 income bands","G:$15,001-$20,000",381,"NULL",2021,NA
1207,"DSS in past","03-18","Parent SES","Parent 1 income bands","L:$40,001-$50,000",978,"NULL",2021,NA
1208,"DSS in past","03-18","Parent SES","Parent 1 income bands","P:$100,001-$150,000",246,"NULL",2021,NA
1209,"DSS in past","19-44","Parent SES","Parent 1 income bands","N:$60,001-$70,000",513,"NULL",2021,NA
1210,"DSS in past","19-44","Parent SES","Parent 1 income bands","Q:$150,001 or More",147,"NULL",2021,NA
1211,"DSS in past","45-64","Parent SES","Parent 1 income bands","B:Loss",0,"NULL",2021,NA
1212,"DSS in past","45-64","Parent SES","Parent 1 income bands","H:$20,001-$25,000",87,"NULL",2021,NA
1213,"DSS in past","45-64","Parent SES","Parent 1 income bands","O:$70,001-$100,000",15,"NULL",2021,NA
1214,"Non-DSS disabled","03-18","Parent SES","Parent 1 income bands","A:NULL",15,"NULL",2021,NA
1215,"Non-DSS disabled","03-18","Parent SES","Parent 1 income bands","I:$25,001-$30,000",555,"NULL",2021,NA
1216,"Non-DSS disabled","19-44","Parent SES","Parent 1 income bands","M:$50,001-$60,000",1797,"NULL",2021,NA
1217,"Non-DSS disabled","19-44","Parent SES","Parent 1 income bands","Q:$150,001 or More",417,"NULL",2021,NA
1218,"Non-DSS disabled","45-64","Parent SES","Parent 1 income bands","H:$20,001-$25,000",417,"NULL",2021,NA
1219,"Non-DSS disabled","45-64","Parent SES","Parent 1 income bands","N:$60,001-$70,000",42,"NULL",2021,NA
1220,"Non-DSS disabled","45-64","Parent SES","Parent 1 income bands","O:$70,001-$100,000",60,"NULL",2021,NA
1221,"Rest of pop","03-18","Parent SES","Parent 1 income bands","A:NULL",1446,"NULL",2021,NA
1222,"Rest of pop","03-18","Parent SES","Parent 1 income bands","B:Loss",1932,"NULL",2021,NA
1223,"Rest of pop","03-18","Parent SES","Parent 1 income bands","G:$15,001-$20,000",36357,"NULL",2021,NA
1224,"Rest of pop","03-18","Parent SES","Parent 1 income bands","I:$25,001-$30,000",46212,"NULL",2021,NA
1225,"Rest of pop","03-18","Parent SES","Parent 1 income bands","L:$40,001-$50,000",112476,"NULL",2021,NA
1226,"Rest of pop","03-18","Parent SES","Parent 1 income bands","P:$100,001-$150,000",46827,"NULL",2021,NA
1227,"Rest of pop","19-44","Parent SES","Parent 1 income bands","M:$50,001-$60,000",79617,"NULL",2021,NA
1228,"Rest of pop","19-44","Parent SES","Parent 1 income bands","Q:$150,001 or More",23190,"NULL",2021,NA
1229,"Rest of pop","45-64","Parent SES","Parent 1 income bands","H:$20,001-$25,000",12441,"NULL",2021,NA
1230,"Rest of pop","45-64","Parent SES","Parent 1 income bands","M:$50,001-$60,000",1917,"NULL",2021,NA
1231,"Rest of pop","45-64","Parent SES","Parent 1 income bands","O:$70,001-$100,000",2421,"NULL",2021,NA
1232,"DSS in Given Year","03-18","Parent SES","Parent 2 income bands","L:$40,001-$50,000",1092,"NULL",2021,NA
1233,"DSS in Given Year","03-18","Parent SES","Parent 2 income bands","N:$60,001-$70,000",1302,"NULL",2021,NA
1234,"DSS in Given Year","19-44","Parent SES","Parent 2 income bands","C:Zero Income",138,"NULL",2021,NA
1235,"DSS in Given Year","19-44","Parent SES","Parent 2 income bands","D:$1-$5,000",129,"NULL",2021,NA
1236,"DSS in Given Year","19-44","Parent SES","Parent 2 income bands","K:$35,001-$40,000",252,"NULL",2021,NA
1237,"DSS in Given Year","45-64","Parent SES","Parent 2 income bands","D:$1-$5,000",0,"NULL",2021,NA
1238,"DSS in Given Year","45-64","Parent SES","Parent 2 income bands","J:$30,001-$35,000",21,"NULL",2021,NA
